,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,D. West - R. Hibbert - P. George - L. Stephenson - B. Hansbrough,IND,1,68.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-500.0
2,R. Hibbert - G. Hill - J. Ayres - S. Young - O. Johnson,IND,2,66.8,80.0,40.0,80.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,20.0,20.0,0.0,0.0,0.0,40.0,0.0,-20.0
3,D. Augustin - R. Hibbert - G. Hill - T. Hansbrough - L. Stephenson,IND,1,66.7,200.0,50.0,50.0,100,50.0,50.0,100,50.0,100.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0
4,G. Green - I. Mahinmi - G. Hill - T. Hansbrough - B. Hansbrough,IND,1,66.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,D. West - G. Green - D. Augustin - R. Hibbert - S. Young,IND,1,65.0,100.0,50.0,150.0,33.3,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
6,D. West - I. Mahinmi - G. Hill - L. Stephenson - O. Johnson,IND,2,64.2,120.0,40.0,60.0,66.7,0.0,0.0,0.0,40.0,40.0,100,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,-20.0
7,D. Granger - D. Augustin - T. Hansbrough - J. Ayres - P. George,IND,1,63.9,50.0,16.7,133.3,12.5,0.0,33.3,0.0,16.7,33.3,50.0,50.0,16.7,66.7,16.7,0.0,16.7,0.0,16.7,16.7,50.0,-83.3
8,I. Mahinmi - D. Augustin - G. Hill - T. Hansbrough - S. Young,IND,3,61.2,83.3,38.9,111.1,35.0,0.0,22.2,0.0,5.6,22.2,25.0,22.2,27.8,50.0,27.8,11.1,22.2,22.2,16.7,16.7,27.8,0.0
9,D. West - G. Green - G. Hill - J. Ayres - P. George,IND,1,60.9,118.2,54.5,100.0,54.5,9.1,27.3,33.3,0.0,0.0,0.0,18.2,45.5,63.6,36.4,18.2,0.0,9.1,0.0,27.3,0.0,18.2
10,D. Augustin - R. Hibbert - J. Ayres - S. Young - O. Johnson,IND,1,60.7,160.0,70.0,100.0,70.0,20.0,30.0,66.7,0.0,0.0,0.0,20.0,40.0,60.0,50.0,10.0,0.0,10.0,0.0,10.0,20.0,110.0
