,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,R. Hamilton - K. Hinrich - J. Noah - T. Gibson - J. Butler,CHI,1,140.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
2,R. Hamilton - V. Radmanovic - N. Robinson - M. Belinelli - T. Gibson,CHI,1,103.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
3,V. Radmanovic - C. Boozer - N. Robinson - M. Belinelli - J. Butler,CHI,1,83.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-200.0
4,R. Hamilton - L. Deng - M. Belinelli - T. Gibson - M. Teague,CHI,1,72.9,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
5,C. Boozer - L. Deng - J. Noah - J. Butler - M. Teague,CHI,2,72.7,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,300.0
6,V. Radmanovic - L. Deng - T. Gibson - J. Butler - M. Teague,CHI,1,70.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,-66.7
7,V. Radmanovic - L. Deng - M. Belinelli - J. Butler - M. Teague,CHI,1,69.6,50.0,25.0,150.0,16.7,0.0,25.0,0.0,0.0,0.0,0.0,25.0,50.0,75.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,-75.0
8,V. Radmanovic - N. Robinson - M. Belinelli - D. Cook - J. Butler,CHI,1,65.8,200.0,50.0,50.0,100,0.0,0.0,0.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0
9,N. Mohammed - R. Hamilton - L. Deng - N. Robinson - M. Belinelli,CHI,1,64.7,140.0,60.0,100.0,60.0,20.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0
10,C. Boozer - K. Hinrich - N. Robinson - J. Noah - M. Belinelli,CHI,1,64.3,157.1,71.4,185.7,38.5,14.3,57.1,25.0,0.0,0.0,0.0,71.4,14.3,85.7,42.9,0.0,0.0,0.0,28.6,28.6,14.3,-28.6
11,N. Mohammed - N. Robinson - M. Belinelli - D. Cook - J. Butler,CHI,1,63.7,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,50.0,75.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,-50.0
12,N. Mohammed - R. Hamilton - N. Robinson - M. Belinelli - T. Gibson,CHI,1,63.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,N. Mohammed - R. Hamilton - K. Hinrich - L. Deng - J. Butler,CHI,1,62.3,62.5,25.0,62.5,40.0,12.5,12.5,100,0.0,0.0,0.0,12.5,25.0,37.5,0.0,62.5,0.0,0.0,12.5,25.0,0.0,-87.5
14,N. Mohammed - N. Robinson - M. Belinelli - D. Cook - T. Gibson,CHI,1,62.2,0.0,0.0,133.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,66.7,0.0,0.0,33.3,0.0,-100.0
15,L. Deng - J. Noah - D. Cook - J. Butler - M. Teague,CHI,1,62.0,160.0,60.0,80.0,75.0,40.0,40.0,100,0.0,0.0,0.0,0.0,0.0,0.0,60.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
16,N. Robinson - J. Noah - T. Gibson - J. Butler - M. Teague,CHI,1,61.7,116.7,50.0,83.3,60.0,0.0,0.0,0.0,16.7,16.7,100,0.0,33.3,33.3,50.0,16.7,33.3,16.7,0.0,0.0,33.3,50.0
17,N. Mohammed - K. Hinrich - M. Belinelli - D. Cook - J. Butler,CHI,1,61.1,100.0,33.3,133.3,25.0,0.0,33.3,0.0,33.3,33.3,100,33.3,33.3,66.7,0.0,0.0,33.3,0.0,0.0,0.0,33.3,33.3
18,V. Radmanovic - K. Hinrich - L. Deng - N. Robinson - J. Butler,CHI,1,60.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
19,N. Mohammed - N. Robinson - J. Noah - M. Belinelli - J. Butler,CHI,2,59.8,137.5,37.5,75.0,50.0,12.5,12.5,100,50.0,62.5,80.0,0.0,37.5,37.5,25.0,0.0,25.0,0.0,0.0,12.5,37.5,37.5
20,C. Boozer - K. Hinrich - L. Deng - N. Robinson - T. Gibson,CHI,5,59.3,150.0,72.7,95.5,76.2,4.5,9.1,50.0,0.0,0.0,0.0,4.5,22.7,27.3,54.5,9.1,13.6,4.5,4.5,36.4,4.5,45.5
21,N. Mohammed - V. Radmanovic - N. Robinson - M. Thomas - M. Teague,CHI,1,59.2,200.0,50.0,100.0,50.0,0.0,50.0,0.0,100.0,100.0,100,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
22,C. Boozer - K. Hinrich - M. Belinelli - J. Butler - M. Thomas,CHI,1,58.1,216.7,83.3,116.7,71.4,16.7,16.7,100,33.3,33.3,100,16.7,16.7,33.3,16.7,0.0,0.0,0.0,0.0,16.7,33.3,116.7
23,C. Boozer - N. Robinson - M. Belinelli - J. Butler - M. Thomas,CHI,1,57.9,120.0,40.0,120.0,33.3,20.0,40.0,50.0,20.0,20.0,100,20.0,40.0,60.0,40.0,0.0,0.0,0.0,0.0,20.0,40.0,-20.0
24,N. Mohammed - V. Radmanovic - L. Deng - N. Robinson - J. Butler,CHI,1,57.6,114.3,28.6,85.7,33.3,28.6,42.9,66.7,28.6,28.6,100,0.0,28.6,28.6,28.6,0.0,0.0,14.3,14.3,71.4,14.3,-42.9
25,N. Mohammed - V. Radmanovic - N. Robinson - D. Cook - J. Butler,CHI,2,57.5,75.0,25.0,87.5,28.6,0.0,25.0,0.0,25.0,25.0,100,12.5,37.5,50.0,12.5,12.5,25.0,0.0,0.0,25.0,12.5,-25.0
26,C. Boozer - K. Hinrich - N. Robinson - T. Gibson - J. Butler,CHI,7,57.3,95.2,33.3,104.8,31.8,4.8,33.3,14.3,23.8,38.1,62.5,23.8,38.1,61.9,19.0,4.8,4.8,9.5,4.8,19.0,38.1,-4.8
27,R. Hamilton - C. Boozer - L. Deng - J. Noah - M. Teague,CHI,2,57.2,96.2,34.6,96.2,36.0,0.0,7.7,0.0,26.9,26.9,100,23.1,30.8,53.8,26.9,15.4,11.5,3.8,7.7,15.4,30.8,0.0
28,R. Hamilton - C. Boozer - N. Robinson - J. Butler - M. Thomas,CHI,1,57.2,116.7,44.4,88.9,50.0,11.1,16.7,66.7,16.7,33.3,50.0,11.1,27.8,38.9,33.3,5.6,5.6,0.0,5.6,27.8,27.8,-22.2
29,N. Mohammed - N. Robinson - D. Cook - T. Gibson - J. Butler,CHI,1,57.1,84.6,38.5,100.0,38.5,7.7,15.4,50.0,0.0,0.0,0.0,15.4,23.1,38.5,30.8,23.1,7.7,7.7,0.0,30.8,23.1,-7.7
30,L. Deng - N. Robinson - J. Noah - D. Cook - J. Butler,CHI,2,56.9,92.9,35.7,100.0,35.7,0.0,14.3,0.0,21.4,21.4,100,21.4,28.6,50.0,21.4,7.1,21.4,14.3,7.1,7.1,28.6,7.1
31,N. Mohammed - M. Belinelli - T. Gibson - J. Butler - M. Teague,CHI,7,56.9,138.5,61.5,100.0,61.5,7.7,19.2,40.0,7.7,26.9,28.6,11.5,46.2,57.7,38.5,15.4,3.8,0.0,15.4,26.9,15.4,50.0
32,C. Boozer - L. Deng - M. Belinelli - T. Gibson - M. Teague,CHI,2,56.7,50.0,25.0,75.0,33.3,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,-50.0
33,N. Mohammed - V. Radmanovic - K. Hinrich - L. Deng - N. Robinson,CHI,1,56.7,112.5,25.0,100.0,25.0,0.0,25.0,0.0,62.5,75.0,83.3,25.0,50.0,75.0,12.5,0.0,0.0,12.5,0.0,0.0,50.0,37.5
34,J. Noah - M. Belinelli - T. Gibson - J. Butler - M. Teague,CHI,7,56.6,92.5,35.0,70.0,50.0,5.0,10.0,50.0,17.5,25.0,70.0,7.5,40.0,47.5,27.5,27.5,7.5,15.0,2.5,22.5,25.0,2.5
35,N. Mohammed - C. Boozer - K. Hinrich - L. Deng - M. Belinelli,CHI,3,56.6,113.8,51.7,89.7,57.7,3.4,3.4,100,6.9,6.9,100,3.4,24.1,27.6,27.6,13.8,10.3,0.0,0.0,34.5,10.3,-13.8
36,N. Robinson - J. Noah - D. Cook - T. Gibson - J. Butler,CHI,1,56.5,100.0,38.9,94.4,41.2,11.1,38.9,28.6,11.1,11.1,100,5.6,55.6,61.1,16.7,11.1,5.6,16.7,0.0,22.2,11.1,38.9
