,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,M. Gortat - M. Thornton - T. Burke - K. Oubre Jr. - S. Mac,WAS,2,90.1,100.0,50.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-100.0
2,J. Wall - T. Burke - S. Mac - D. Ochefu - D. House,WAS,1,82.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,J. Wall - M. Morris - T. Satoransky - T. Burke - K. Oubre Jr.,WAS,1,75.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
4,M. Thornton - A. Nicholson - T. Satoransky - T. Burke - D. Ochefu,WAS,1,72.8,66.7,33.3,33.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,66.7,33.3,0.0,0.0,66.7,0.0,0.0
5,M. Thornton - A. Nicholson - T. Burke - K. Oubre Jr. - S. Mac,WAS,1,71.7,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,-150.0
6,M. Thornton - T. Satoransky - T. Burke - K. Oubre Jr. - S. Mac,WAS,1,70.8,150.0,50.0,100.0,50.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
7,J. Smith - M. Thornton - M. Morris - T. Satoransky - O. Porter Jr.,WAS,1,68.3,100.0,0.0,50.0,0.0,0.0,50.0,0.0,100.0,100.0,100,50.0,50.0,100.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,100.0
8,M. Thornton - B. Beal - A. Nicholson - T. Satoransky - K. Oubre Jr.,WAS,1,68.3,150.0,66.7,100.0,66.7,16.7,16.7,100,0.0,0.0,0.0,16.7,33.3,50.0,16.7,16.7,16.7,0.0,0.0,33.3,33.3,116.7
9,I. Mahinmi - J. Smith - M. Thornton - B. Beal - T. Satoransky,WAS,1,67.1,50.0,25.0,125.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,75.0,25.0,100.0,0.0,50.0,25.0,0.0,50.0,25.0,25.0,0.0
10,M. Gortat - B. Jennings - B. Beal - O. Porter Jr. - K. Oubre Jr.,WAS,1,66.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
